N160,4.75024221
Pdeltoides,0
Ptrichocarpa,0
N161,8.44487504
N162,4.22243752
Peuphratica,0
Popruinosa,0
Pilicifolia,0
N163,11.824701576
N164,5.912350788
Sbrachista,0
N165,2.956175394
Spurpurea,0
Ssuchowensis,0
Sdunnii,0
Twilfordii,0
N166,9.619541077
Vriparia,0
Vvinifera,0
N167,114.24991792719997
N168,107.95713688719998
N169,101.6643558472
N170,92.73501826319999
N171,67.19349422319999
N172,41.65197018319999
N173,41.3242721101
N174,37.91306178
N175,18.95653089
Aannua,0
Ecanadensis,0
N176,34.50185145
N177,31.09064112
Hannuus,0
Mmicrantha,0
Ssonchifolius,0
N178,40.996574036999995
N179,1.015145917
Cendivia,0
Cintybus,0
N180,2.769255978
Lsaligna,0
Lsativa,0
Alappa,0
N181,38.51164005
Dcarota,0
Agraveolens,0
N182,83.80568068400001
N183,63.977067944999995
N184,58.81378123
Balternifolia,0
N185,53.650494515
N186,48.4872078
N187,43.32392109
Camericana,0
N188,21.66196054
Pfrutescens,0
N189,10.83098027
Shispanica,0
Ssplendens,0
N190,24.2436039
Eguttata,0
N191,12.12180195
Pfortunei,0
Shermonthica,0
Sindicum,0
Oeuropaea,0
N192,74.8763431
N193,65.947005518
N194,41.123304688000005
N195,23.997620238
N196,20.652714639
N197,10.32635732
Cannum,0
N198,5.16317866
pgrisea,0
Ppruinosa,0
N199,17.30780904
Jsinuosa,0
N200,13.962903441999998
N201,6.981451721
SMEbrinjal,0
Smelongena,0
N202,8.614229424
N203,4.307114712
Schacoense,0
Stuberosum,0
N204,4.307114712
Slycoperscoides,0
N205,2.153557356
Slycopersicum,0
Spennellii,0
Nicotiana,0
Petunia,0
N206,47.74334766
N207,23.87167383
Caustralis,0
Ccampestris,0
N208,23.87167383
Inil,0
Itriloba,0
N209,37.43817155
Carabica,0
Ceugenioides,0
N210,95.37157481
N211,81.86847436
N212,68.36537390999999
N213,6.556922624
Achinensis,0
Arufa,0
N214,54.86227346
N215,27.43113673
Rgriersonianum,0
Rsimsii,0
Vdarrowii,0
Camsinensis,0
Iglandulifera,0
Nsinensis,0
N216,65.05296472
Ahypochondriacus,0
N217,56.50112344
Bvulgaris,0
Cquinoa,0
N218,116.20797148
N219,58.10398574
Mintegrifolia,0
Tspeciosissima,0
Nnucifera,0
N220,110.93433568
N221,25.9122212
Acoerulea,0
Cchinensis,0
Psomniferum,0
N222,129.20617607
N223,110.3218551
Afimbriata,0
Pnigrum,0
N224,80.6909218
Ckanehirae,0
N225,32.17566749
Lchinense,0
Mbiondii,0
N226,130.569627745
N227,127.316928776
N228,124.06422980699999
N229,120.811530838
N230,117.55883186899999
N231,114.3061329
Acomosus,0
N232,95.45795408999999
N233,76.60977523999999
N234,70.89986874499999
N235,65.18996225
N236,59.480055754999995
N237,53.77014926
N238,48.060242768
N239,13.862461168
N240,10.396845876
N241,6.931230584
N242,3.465615292
Atauschii,0
Turartu,0
Taestivum,0
Tintermedium,0
Hvulgare,0
Bdistachyon,0
Rguianensis,0
N243,29.740027875000003
Lperrieri,0
N244,14.870013935
Obrachyantha,0
N245,11.15251045
N246,7.43500697
N247,3.717503485
Oglaberrima,0
Osativa,0
Omeridionalis,0
Olatifolia,0
N248,54.698822376
N249,44.2076825
N250,22.10384125
Ecoracana,0
Othomaeum,0
N251,22.10384125
Ecurvula,0
Etef,0
N252,36.506068426
N253,18.313314476
N254,9.156657238
Msinensis,0
Sbicolor,0
ZmB73NAM5,0
N255,24.33737896
N256,12.16868948
Phallii,0
Pvirgatum,0
N257,12.16868948
Sitalica,0
Sviridis,0
Platifolius,0
Sangustifolia,0
Clittledalei,0
N258,65.3912445
N259,43.594163
N260,21.7970815
Macuminata,0
Mbalbisiana,0
Mtroglodytarum,0
Zofficinale,0
N261,60.40576544
Eguineensis,0
Pdactylifera,0
N262,104.86683926
Aofficinalis,0
N263,52.433419629999996
Ashenzhenica,0
N264,41.9467357
N265,31.46005178
N266,20.97336785
N267,10.48668393
Dcatenatum,0
Dnobile,0
Dchrysotoxum,0
Pequestris,0
Vplanifolia,0
N268,63.65846441
Dalata,0
Dcayenensis,0
N269,98.71094273
N270,66.85225768
N271,44.56817179
N272,22.284085892
Lgibba,0
N273,14.85605726
N274,7.428028632
Ljaponica,0
N275,3.714014316
Lminor7210,0
Lminor9252,0
Lturionifera,0
Waustraliana,0
N276,33.42612884
Sintermedia,0
Spolyrhiza,0
Zmarina,0
N277,93.43319172
Ncolorata,0
Nthermarum,0
